Sentiment,Review,Rating
positive,'Mulai parah ini pelayanan yotta karyawan/karyawatinya kerja atau apa atau atasannya kerjanya cman tidur atau cuman nongol duduk',1
positive,'Enak sih walaupun agak mahal dikit dibamding produk sebelah',5
positive,'Menu minuman d restoonya enak2 n karyawannya ramah2😊',5
positive,"'Tempatnya bagus, minumannya enak'",5
positive,'Nyaman. Cuma susah cari parkiran untuk kendaraan besar',4
positive,"'Pelayanannya makin lama, tidak seperti sebelumnya'",3
positive,'Suka krna berbagi juga kemarin pas launcing App.Nya',5
positive,"'Suka, rasanya enak, manisnya pas, pokoknya recomended'",5
positive,"'Varian rasa banyak, harganya lumayan terjangkau'",4
positive,'Tempatnya tenang dan nyaman',5
positive,'Cemilan enak & hemat hanya disini',5
positive,'Bagus kok',4
positive,'Anak3 pada suka',5
positive,'Menunya beragam dan sangat enak.',5
positive,'🥰🥰',5
positive,'Minumannya enak & harganya terjangkau 😊👍',5
positive,'Pelayanan yg ramah',5
positive,"'Ramai, pelayanan nya baik'",4
positive,'Pelayanan buruk.. karyawan jutek abis 👎👎',1
positive,"'Tempan Nyaman, Santai'",5
positive,'Enak sama seperti yotta lainnya',5
positive,'Choco hazelnut nya the best',5
positive,'Tempat nyaman dan bersih',5
positive,"'Mantap, alpukat topping oreo terbaik'",5
positive,'Pelayanan yg bagus',5
positive,'sukak bngt😭 sumpah fav aku crazy oreo vanilla',5
positive,"'Apapun makanannya, minumannya ya yotta'",5
positive,'parkiran untuk mobil kurang memadai',3
positive,'Harga sesuai kantong mahasiswa 😉',5
positive,'Lambat pelayanannya',1
positive,'okelah',3
positive,'Keren...muantap',5
positive,"'Pelayananan kurang, parkiran tidak bagus'",3
positive,'Kasirnya ramah',5
positive,'tempatnya nyaman dan bersih',5
positive,'Terbaik di kelasnya',5
positive,'Minumannya mantap',5
positive,'Lambat pelayanan',1
positive,'Tempatnya nyaman untuk mengantri',5
positive,'Pelayanan super cepat',5
positive,'Toko gadai',5
positive,'Mantaapp sangat membantu',5
positive,'Agen penyedia jasa',5
positive,'👍👍',5
positive,"'Harga murah, rasa juara'",5
positive,'Cepat penyajianx',5
positive,'Otletnya bersih',5
positive,'Sesuai titik',5
positive,'Pelayanan bagus',5
positive,'Minumannya Mantul',5
positive,'👍🤩',5
positive,'👍',5
positive,'Ini mahhh kesukaan anak anak sy',4
positive,'Masya Allah',5
positive,'Suka sekali',5
positive,'Sangat 👍Baik dan cepat',5
positive,'Mantap ah',5
positive,'Enak dan cepat',5
positive,'Ramai',5
positive,'Semangat ku :)',5
positive,'Jajanan istri',5
positive,'Kunjungan kerjaa',5
positive,'Minuman Bubble Tea Makassar',5
positive,'Enak nyaman',5
positive,'Asyik',5
positive,'Mantap 👍',4
positive,'Setuju',5
positive,'Mantap',4
positive,'mantapppp',5
positive,'Bagus',5
positive,'enakk',5
positive,'Syukaaakkk bangetttt',5
positive,'Mantap mantap',5
positive,'Bersih',5
positive,'Kurang mengigit',3
positive,'Lumayan',3
positive,'SEMANGAT YOOO',5
positive,'Enak dan murah',5
positive,'Baik',5
positive,'Mantap',5
positive,'Segar',5
positive,'bagus',5
positive,'Mantap',5
positive,'Bagus',5
positive,'Mantap',5
positive,'Sip',5
positive,'Rekomended',5
positive,'Sip',5
